epoch,learning_rate,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,train_uncertainty_loss,val_uncertainty_loss,val_sar_reliability,val_optical_reliability,val_sar_uncertainty,val_optical_uncertainty,val_sar_trust,val_optical_trust,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
1,9.938441702975689e-05,1.3744926911497872,1.085296334510439,0.44651733097056534,0.5459049053516453,0.5438972233796351,0.7015418455176818,0.545904527316165,0.9529125770826018,0.7658668030349035,0.7552410123053561,0.5570047310229098,0.5039794255843323,0.6560945577835768,0.8543874698408535,0.28947336921531164,0.20997728692011886,0.005395070184022188,0.008165712468326092,0.011199548840522766,0.001972850412130356,0.0070927562192082405,0.007870087400078773,0.0005023700068704784,0.018402811139822006,0.012400801293551922
1,0.0001,1.374589218270211,1.0851912893606035,0.43877918582858877,0.5385769954454501,0.5351369687102642,0.7050987321009137,0.5385766190066813,0.9535587610823385,0.7661452191689658,0.7537227956096778,0.5585395566533121,0.5039929285478056,0.6569020306126455,0.8505435629507129,0.28992347770862364,0.2100655408052916,0.006098178680986166,0.008444310165941715,0.011553776450455189,0.001969274366274476,0.007170506287366152,0.007601546589285135,0.0002243241760879755,0.018127720803022385,0.012760145589709282
2,9.938441702975689e-05,1.1367478530321802,0.9704541667793574,0.5252683286344899,0.6198225051414843,0.6636803778850723,0.6729081553892867,0.6198220944776505,0.9687230828103055,0.7005527334080802,0.6553747412863742,0.5623182399889056,0.4776212357905474,0.6236021920536341,0.6871472958768352,0.3016868987110224,0.23108325630761264,0.01314359251409769,0.014706285670399666,0.019840093329548836,0.005844718310981989,0.011832154355943203,0.013012228533625603,0.0009228464914485812,0.02703998237848282,0.023448582738637924
3,9.755282581475769e-05,1.0468978692614843,0.9346681545289715,0.48269231176072497,0.5804528050470558,0.5694257873005485,0.7481894222558692,0.5804524232434644,0.9500861007176088,0.6607313520378537,0.6252788111065211,0.5618439470784048,0.5314731964569414,0.5916468018896124,0.6589108146308513,0.3146813464968392,0.2945281145780274,0.02092268131673336,0.0208089891821146,0.027320070192217827,0.010877168737351894,0.017131632193922997,0.018116051331162453,0.00098569190595299,0.033427976071834564,0.03017713874578476
4,9.45503262094184e-05,0.9609542921895072,0.893585988309946,0.5091401291031078,0.6100665346963583,0.6455840563761368,0.6983293399845236,0.6100661333426646,0.9576873779296875,0.6364715544004289,0.60817111040769,0.5471663970625802,0.5241312803177351,0.5771958915035377,0.6391463283072697,0.3207685990949695,0.30320722701844205,0.028606997802853584,0.028620649129152298,0.035715360194444656,0.019445596262812614,0.021903356537222862,0.024159438908100128,0.00038741622120141983,0.039852943271398544,0.035386428236961365
5,9.045084971874738e-05,0.8961287236639431,0.789845834119936,0.5532513483747878,0.6439307840699222,0.6883682476382562,0.7149007394608881,0.6439303905178496,0.9679057946365871,0.619147455644986,0.6080058699243525,0.5276967585086823,0.3529333584847745,0.5654769861296322,0.6505347520447848,0.32548060243049365,0.21197800166653782,0.035687416791915894,0.03288891166448593,0.04074009507894516,0.032163482159376144,0.02886342629790306,0.03186504542827606,0.0009835039963945746,0.045157432556152344,0.04136773198843002
6,8.535533905932738e-05,0.8415377157784644,0.7389413210448255,0.5203631144991959,0.6157057982829387,0.6325768463348511,0.7229015340523539,0.6157054082459921,0.9674394586113062,0.6052468440362385,0.6220712819126215,0.5126038783051995,0.31928389858496325,0.5527952132600077,0.6913473482212323,0.32285513167970636,0.19074033004012,0.04148069769144058,0.03574791178107262,0.04465281590819359,0.03703458234667778,0.033957161009311676,0.03647734597325325,0.0032545526046305895,0.05207950621843338,0.04866313934326172
7,7.938926261462366e-05,0.7991871861593117,0.7413151084204738,0.5459167628282752,0.6392188784693073,0.7072413611646395,0.6740198453638915,0.6392184756397289,0.9679937469825316,0.5911509751800507,0.5964656050285596,0.5011941392100259,0.3411411697442612,0.5303327786118797,0.6625984327846699,0.32988243357519087,0.2228830848517043,0.04663165658712387,0.03881283104419708,0.04836013913154602,0.04093758016824722,0.038831889629364014,0.04083060473203659,0.0012111528776586056,0.05588012933731079,0.05194360762834549
8,7.269952498697734e-05,0.7567472243238063,0.7287796281194419,0.546389138879494,0.635191099664729,0.7551066265386733,0.6672248239257793,0.6351907159741097,0.9679874034410112,0.5732895178454263,0.5604946479368745,0.49144926533270417,0.37213545267501574,0.5077125363135606,0.6132767518584648,0.33287957980391686,0.24392388135278492,0.05121930316090584,0.04053853079676628,0.051457252353429794,0.04261457547545433,0.04188179597258568,0.04420531168580055,0.001246580039151013,0.05996449291706085,0.05587572604417801
9,6.545084971874738e-05,0.7314652289663043,0.7488550651776656,0.5251929754928195,0.6221992873631775,0.7069608098175854,0.6713961296747996,0.6221988931536863,0.9627771270409059,0.5565127910129608,0.5420500997746929,0.47426829780085705,0.3981509484099538,0.48938977249552695,0.594710426049286,0.32866987301392503,0.26256159613474034,0.054445769637823105,0.0412101186811924,0.05267181247472763,0.04762345552444458,0.04399019479751587,0.04720502346754074,0.002455910900607705,0.06323382258415222,0.05882519111037254
