epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,learning_rate,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
1,1.426722958920494,1.161099266805006,0.40136982389183723,0.5007146660081229,0.48185683292504145,0.7314040256736201,0.5007143089568087,0.9251962726035815,9.999383162408304e-05,0.006519800517708063,0.0083378991112113,0.0067069693468511105,0.0009259253274649382,0.00580162089318037,0.004673841409385204,0.010316760279238224,0.004644435364753008,0.008926525712013245
2,1.1455168856514826,1.0509751308500097,0.3700773143262075,0.4742290513417553,0.483930474091108,0.6978924136564236,0.47422873672476856,0.9457476326588834,9.997532801828658e-05,0.014667422510683537,0.015177946537733078,0.012080327607691288,0.004288164898753166,0.010146786458790302,0.009944861754775047,0.018936926499009132,0.010149450972676277,0.01680438034236431
3,1.0234860800324925,0.8942318555344356,0.5081673312232283,0.6047604781785926,0.6673833290411868,0.6713107601557623,0.6047600924935663,0.9575915390186096,9.994449374809851e-05,0.021161580458283424,0.0206889845430851,0.01705084554851055,0.010606927797198296,0.013697439804673195,0.014056047424674034,0.030456354841589928,0.018119029700756073,0.0273959431797266
4,0.9326559820818523,0.9365851170896144,0.4880842910429868,0.5733249825325164,0.8009341107599742,0.5604210481468783,0.5733246362288045,0.9537374089273174,9.990133642141359e-05,0.028990184888243675,0.025390086695551872,0.02239847742021084,0.016277246177196503,0.017403725534677505,0.019517263397574425,0.03945724293589592,0.025550151243805885,0.034174595028162
5,0.8755297854187942,0.9327954464079289,0.4615517636767639,0.5521288212081394,0.7174649003504897,0.5916835023630758,0.5521284742259153,0.9483644292595681,9.98458666866564e-05,0.03367507457733154,0.029460880905389786,0.02762310579419136,0.02109467051923275,0.022077586501836777,0.023797249421477318,0.045450884848833084,0.03022673726081848,0.0396457277238369
6,0.8115978562642657,0.8204443804668576,0.48317362171130857,0.5746256352947857,0.7476509604780506,0.5763673469927816,0.5746252712991976,0.9591383344671699,9.9778098230154e-05,0.03714781627058983,0.03272257000207901,0.031279101967811584,0.026362847536802292,0.025565212592482567,0.028230855241417885,0.052689291536808014,0.0356065072119236,0.04564971104264259
7,0.7789138693894658,0.7624086206883527,0.511775209920609,0.6075410436844542,0.6648626347963621,0.6693660386637325,0.6075406557142602,0.9639139925495962,9.9698047772759e-05,0.04150322079658508,0.0356595516204834,0.03545614704489708,0.03385043889284134,0.028415199369192123,0.03225449100136757,0.058348726481199265,0.04268453270196915,0.052153654396533966
8,0.7505142773605056,0.8205076668704494,0.49619989523509284,0.582897536411165,0.8636222378726327,0.539192126818168,0.5828971913851176,0.9561354390690836,9.96057350657239e-05,0.04443465545773506,0.03868316113948822,0.03940197452902794,0.03905239328742027,0.03079294227063656,0.03623376414179802,0.06389051675796509,0.04907502233982086,0.05722144618630409
9,0.7137948584757627,0.6677657187487303,0.5569566056302709,0.6503376445495294,0.7071138803409365,0.6924755896196032,0.650337233813469,0.9690592905108848,9.950118288582787e-05,0.0476035512983799,0.03985622152686119,0.043213680386543274,0.03942403942346573,0.030184306204319,0.036541908979415894,0.06857965141534805,0.05334514379501343,0.06136276200413704
10,0.6912996587713086,0.6901180705662524,0.5379309703560339,0.6257864319821774,0.7707754676003147,0.6416781805959907,0.6257860482307998,0.9695017953936973,9.938441702975689e-05,0.04888898879289627,0.04244447499513626,0.04570687934756279,0.042970921844244,0.034123294055461884,0.03998973220586777,0.07176828384399414,0.056502364575862885,0.06476359814405441
