epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,learning_rate,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
1,1.4344225890106626,1.1956666001443113,0.4211681923160415,0.5169859212141528,0.5303091769457153,0.6882004600650818,0.5169855560005662,0.9535206998332163,9.938441702975689e-05,0.006279740482568741,0.012635549530386925,0.006479604635387659,0.009633208625018597,0.007786580361425877,0.006597442086786032,0.008363677188754082,0.011045319028198719,0.009707492776215076
2,1.2263803950377874,1.0791788720682767,0.4513076149002072,0.5493755555688444,0.5377191617488066,0.73677221109971,0.5493751874145705,0.9517616529143258,9.755282581475769e-05,0.013336959294974804,0.023662803694605827,0.015409290790557861,0.018149618059396744,0.014866800047457218,0.011091378517448902,0.01210299227386713,0.022653205320239067,0.01884443126618862
3,1.1242264356641543,1.0099347719315732,0.4886243769416568,0.5885777765569982,0.6504173919656752,0.6636081146436604,0.5885773824854614,0.9614271528265449,9.45503262094184e-05,0.019955860450863838,0.03215822950005531,0.025047674775123596,0.023727351799607277,0.020376360043883324,0.015094570815563202,0.014342368580400944,0.029008766636252403,0.021328317001461983
4,1.0328212330738704,0.9837169776136956,0.47782943915956455,0.5779757000150538,0.6626004216031259,0.6597121729839519,0.5779753244077374,0.9567663642797577,9.045084971874738e-05,0.025868196040391922,0.036765024065971375,0.03181345388293266,0.032051946967840195,0.02601454220712185,0.021242840215563774,0.01612032949924469,0.034475311636924744,0.024518843740224838
5,0.9691570947567621,0.8902741352493844,0.5235830359025974,0.6191362975412268,0.6662612038198512,0.7067059711775646,0.6191359105517366,0.9655677709686622,8.535533905932738e-05,0.03206118568778038,0.03995589166879654,0.0375378355383873,0.03708783909678459,0.031207362189888954,0.02687237225472927,0.017358802258968353,0.035968951880931854,0.02583496831357479
6,0.9189295858026497,0.8723475707046101,0.48630465341705875,0.5844165783102919,0.5491771872921578,0.7993009987552969,0.5844162056713103,0.9512630848402388,7.938926261462366e-05,0.035638950765132904,0.04246782511472702,0.04076265171170235,0.041548773646354675,0.03406258299946785,0.03051806427538395,0.01980232633650303,0.038815688341856,0.02814863994717598
7,0.8634051523274846,0.8116313525465098,0.5288837954027547,0.6212661810389009,0.6805144324520803,0.7003365640331439,0.6212657870273784,0.9663279672686973,7.269952498697734e-05,0.038793567568063736,0.044619955122470856,0.043830595910549164,0.045032188296318054,0.039633858948946,0.034987326711416245,0.020795311778783798,0.04084662348031998,0.03020741231739521
8,0.8290783026152186,0.7829100531473588,0.5410003449738988,0.6317982569056908,0.7174761906177876,0.6731844639801484,0.6317978680903381,0.9690052846844277,6.545084971874738e-05,0.042005930095911026,0.04609786719083786,0.04720214381814003,0.048469990491867065,0.043181680142879486,0.03858670964837074,0.021385181695222855,0.04352531582117081,0.03356660157442093
9,0.7885941221186566,0.7464764817209726,0.5076857551672798,0.6018025690916736,0.5777915790667096,0.7777770971355726,0.6018021900329437,0.9595340343003862,5.782172325201156e-05,0.04439273849129677,0.047322291880846024,0.049050722271203995,0.049773767590522766,0.044712651520967484,0.03990122303366661,0.021816765889525414,0.04527019336819649,0.03504205867648125
10,0.7427635753142928,0.794201598241088,0.5178389250237073,0.6134541192656108,0.771587577082599,0.6396825615152811,0.6134537606484278,0.9614887023239993,5.000000000000001e-05,0.046595364809036255,0.04877076670527458,0.05098458379507065,0.052256546914577484,0.04600127413868904,0.041418444365262985,0.023453200235962868,0.04607301950454712,0.03630800172686577
