group,group_rank,sample_id,IoU,Dice,Precision,Recall,F1,PixelAcc,figure_path
best,1,Sri-Lanka_713926,0.9784760019792182,0.9891209203451294,0.994018296973962,0.9842715643820616,0.9891209203451296,0.9933624267578125,outputs/publication/TCSF_v31_seed2026/qualitative/best/01_Sri-Lanka_713926.png
best,2,USA_905409,0.9580425757441922,0.9785717508007399,0.9779100171310071,0.9792343806428313,0.9785717508007399,0.9927520751953125,outputs/publication/TCSF_v31_seed2026/qualitative/best/02_USA_905409.png
best,3,Paraguay_790830,0.9333172263831844,0.965508622844289,0.9605868457043392,0.9704810953397814,0.9655086228442891,0.9915771484375,outputs/publication/TCSF_v31_seed2026/qualitative/best/03_Paraguay_790830.png
best,4,India_591317,0.9239126673817515,0.9604517741848462,0.9889995925775029,0.9335058033841421,0.9604517741848463,0.9664459228515625,outputs/publication/TCSF_v31_seed2026/qualitative/best/04_India_591317.png
best,5,Mekong_1443339,0.9190384194068792,0.9578113810675329,0.9578014405214106,0.9578213218199934,0.9578113810675329,0.9379730224609375,outputs/publication/TCSF_v31_seed2026/qualitative/best/05_Mekong_1443339.png
median,1,Somalia_699062,0.5914285714285714,0.7432675044883303,0.7288732394366197,0.7582417582417582,0.7432675044883303,0.9934539794921875,outputs/publication/TCSF_v31_seed2026/qualitative/median/01_Somalia_699062.png
median,2,USA_350244,0.5746268656716418,0.7298578199052133,0.7427652733118971,0.717391304347826,0.7298578199052133,0.9973907470703125,outputs/publication/TCSF_v31_seed2026/qualitative/median/02_USA_350244.png
median,3,India_631692,0.5632530120481928,0.720616570327553,0.5899053627760252,0.9257425742574258,0.720616570327553,0.9977874755859375,outputs/publication/TCSF_v31_seed2026/qualitative/median/03_India_631692.png
median,4,Nigeria_225131,0.5549872122762148,0.7138157894736842,0.6615853658536586,0.775,0.7138157894736844,0.997344970703125,outputs/publication/TCSF_v31_seed2026/qualitative/median/04_Nigeria_225131.png
median,5,India_828067,0.553921568627451,0.7129337539432177,0.7135476463834672,0.7123209169054441,0.7129337539432176,0.9847259521484375,outputs/publication/TCSF_v31_seed2026/qualitative/median/05_India_828067.png
worst,1,Ghana_97059,0.0,0.0,0.0,0.0,0.0,1.0,outputs/publication/TCSF_v31_seed2026/qualitative/worst/01_Ghana_97059.png
worst,2,Ghana_53713,0.0,0.0,0.0,0.0,0.0,1.0,outputs/publication/TCSF_v31_seed2026/qualitative/worst/02_Ghana_53713.png
worst,3,Ghana_83483,0.0,0.0,0.0,0.0,0.0,1.0,outputs/publication/TCSF_v31_seed2026/qualitative/worst/03_Ghana_83483.png
worst,4,Ghana_167233,0.0,0.0,0.0,0.0,0.0,1.0,outputs/publication/TCSF_v31_seed2026/qualitative/worst/04_Ghana_167233.png
worst,5,Ghana_141271,0.0,0.0,0.0,0.0,0.0,0.9935760498046875,outputs/publication/TCSF_v31_seed2026/qualitative/worst/05_Ghana_141271.png
