sample_id,IoU,Dice,Precision,Recall,F1,PixelAcc,TP,FP,FN,TN
Ghana_313799,0.43895277723539206,0.6101003231406052,0.8367537314194247,0.48006422277761196,0.6100998598931571,0.9650115966649627,1794,350,1943,61449
Ghana_1078550,0.18333333560185183,0.30985915654962637,0.7096774224765868,0.1981982006060114,0.3098588168687207,0.9955139160004348,66,27,267,65176
Ghana_97059,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,0,0,0,65536
Ghana_359826,0.6002098640081743,0.7501639345900565,0.8627450982462367,0.6635730862371542,0.7501634432682608,0.9941864013520175,572,91,290,64583
Ghana_319168,0.6762234305753647,0.8068416396438198,0.7851540080557534,0.8297614233896319,0.8068411400351142,0.9400329589700314,8208,2246,1684,53398
Ghana_866994,0.32369455363882155,0.4890774125231066,0.4998423583392511,0.4787663735050105,0.4890769127653826,0.5956573486237235,12683,12691,13808,26354
Ghana_406026,0.7711053091635288,0.8707616708251785,0.9162357808518762,0.8295880151408351,0.8707611721206124,0.9959869384613651,886,81,182,64387
Ghana_53713,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,0,0,0,65536
Ghana_83483,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,0,0,0,65536
Ghana_167233,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,0,0,0,65536
Ghana_141271,2.3752969064719787e-09,2.3752969064719787e-09,1.0,2.3752969064719787e-09,4.750589051070848e-09,0.9935760497895268,0,0,421,65115
India_900498,0.8770714438344349,0.9345104542656893,0.9413672246080328,0.9277528488902168,0.9345099542935489,0.9385375976419291,28739,1790,2238,32769
India_591317,0.9239126673843842,0.9604517741855574,0.9889995925779103,0.9335058033864667,0.9604512746031327,0.9664459228368159,26702,297,1902,36635
India_747992,0.8253401003085576,0.9043137771066383,0.875756803266976,0.9347959183695648,0.9043132776401404,0.9112548827985955,27483,3899,1917,32237
India_79637,0.23540489690181737,0.3810975612900927,0.5725190846221083,0.28560548416937886,0.38109711749991837,0.9814147949068999,375,280,938,63943
India_952728,0.26942482365643294,0.4244833069887432,0.34392443136800155,0.5543252598239963,0.42448283457460256,0.966857910141497,801,1528,644,62563
India_828067,0.5539215688262382,0.7129337540255424,0.713547646547906,0.7123209170703032,0.7129332541085879,0.9847259521334119,1243,499,502,63292
India_570384,0.5479092444125427,0.7079345851353198,0.6353555121471285,0.7992341357223102,0.7079340916957245,0.9632110595556151,2922,1677,734,60203
India_44475,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,0,0,0,65536
India_80221,0.9087860273639,0.9522136209454255,0.9477785088496804,0.9566904362431247,0.9522131209574682,0.9580841064306934,27369,1508,1239,35420
India_1018327,0.6784144622540498,0.8083992094956325,0.7386907449445878,0.8926350245616328,0.8083987139580237,0.9408264160012693,8181,2894,984,53477
India_592446,0.637279597107852,0.7784615385102281,0.7683297181048462,0.7888641426330227,0.7784610386461852,0.984619140609976,1771,534,474,62757
India_772630,0.5178571440870992,0.6823529417103312,0.8152610449186304,0.5867052035066324,0.6823524555331484,0.9971160888519728,203,46,143,65144
India_631692,0.5632530133636957,0.7206165708658641,0.5899053640696992,0.9257425746250367,0.7206160959533283,0.9977874755707126,187,130,15,65204
India_399883,0.7701568147602198,0.8701565966772218,0.9643289858183904,0.7927408015059544,0.8701561014479261,0.8767700195178716,27061,1001,7075,30399
Mekong_333434,0.3599306163400428,0.5293367349940454,0.5592991919685995,0.5024213081084488,0.5293362367296319,0.9887390136567882,415,327,411,64383
Mekong_45934,0.32038835611273436,0.48529412143166084,0.5409836140822358,0.44000000746666657,0.4852936305152099,0.9989318847503826,33,28,42,65433
