group,group_rank,sample_id,IoU,Dice,Precision,Recall,F1,PixelAcc,figure_path
best,1,Paraguay_40936,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,outputs/publication/TCSF_v31_seed2026_v2/qualitative/best/01_Paraguay_40936.png
best,2,India_44475,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,outputs/publication/TCSF_v31_seed2026_v2/qualitative/best/02_India_44475.png
best,3,Ghana_167233,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,outputs/publication/TCSF_v31_seed2026_v2/qualitative/best/03_Ghana_167233.png
best,4,Ghana_83483,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,outputs/publication/TCSF_v31_seed2026_v2/qualitative/best/04_Ghana_83483.png
best,5,Ghana_53713,1.0,1.0,1.0,1.0,0.99999950000025,0.9999999999847413,outputs/publication/TCSF_v31_seed2026_v2/qualitative/best/05_Ghana_53713.png
median,1,India_592446,0.637279597107852,0.7784615385102281,0.7683297181048462,0.7888641426330227,0.7784610386461852,0.984619140609976,outputs/publication/TCSF_v31_seed2026_v2/qualitative/median/01_India_592446.png
median,2,USA_519181,0.6300751885262027,0.7730627308366579,0.7659963441206649,0.7802607080442072,0.7730622310888842,0.9962463378754236,outputs/publication/TCSF_v31_seed2026_v2/qualitative/median/02_USA_519181.png
median,3,Pakistan_664885,0.6195524150535308,0.765090909261752,0.6760925454034801,0.8810720269998793,0.7650904180969766,0.995071411117629,outputs/publication/TCSF_v31_seed2026_v2/qualitative/median/03_Pakistan_664885.png
median,4,Spain_6095801,0.6026626879831674,0.7520767688518994,0.6371799539331173,0.9175257732102873,0.752076285127765,0.9471740722511723,outputs/publication/TCSF_v31_seed2026_v2/qualitative/median/04_Spain_6095801.png
median,5,Ghana_359826,0.6002098640081743,0.7501639345900565,0.8627450982462367,0.6635730862371542,0.7501634432682608,0.9941864013520175,outputs/publication/TCSF_v31_seed2026_v2/qualitative/median/05_Ghana_359826.png
worst,1,Paraguay_34417,7.99999999936e-11,7.99999999936e-11,1.0,7.99999999936e-11,1.5999983997456004e-10,0.8092651367064017,outputs/publication/TCSF_v31_seed2026_v2/qualitative/worst/01_Paraguay_34417.png
worst,2,Nigeria_417184,9.337068151879487e-10,9.337068151879487e-10,1.3888888869598765e-09,2.849002840886032e-09,7.880500063218253e-12,0.9836578368990532,outputs/publication/TCSF_v31_seed2026_v2/qualitative/worst/02_Nigeria_417184.png
worst,3,Ghana_141271,2.3752969064719787e-09,2.3752969064719787e-09,1.0,2.3752969064719787e-09,4.750589051070848e-09,0.9935760497895268,outputs/publication/TCSF_v31_seed2026_v2/qualitative/worst/03_Ghana_141271.png
worst,4,Pakistan_167553,2.732240429693332e-09,2.732240429693332e-09,1.0,2.732240429693332e-09,5.464475379981024e-09,0.9944152831879516,outputs/publication/TCSF_v31_seed2026_v2/qualitative/worst/04_Pakistan_167553.png
worst,5,Somalia_60129,5.91715972830083e-09,5.91715972830083e-09,4.99999750000125e-07,5.9880239162393775e-09,3.9761417894229615e-09,0.9974212646332181,outputs/publication/TCSF_v31_seed2026_v2/qualitative/worst/05_Somalia_60129.png
